Names, Status, Location, Laps, Total Laps, Battery, Active Time, Idle Time, Return Time
Anders, Patrolling, 0, 9, 10, 7.00, 199.758367062, 19.5014231205, 0
Caval, Charging, 3, 0, 0, 7.00, 3.19216895103, 194.346124887, 28.4803521633
Caval, Patrolling, 3, 0, 0, 7.00, 3.19216895103, 194.346124887, 28.4803521633
Boomer, Patrolling, 1, 9, 10, 7.00, 192.887176037, 96.1643459797, 0
Caprica, Patrolling, 2, 9, 10, 7.00, 174.452591896, 153.8239851, 0
Hera, Patrolling, 5, 2, 2, 7.00, 0, 257.264186859, 0
Anders, Patrolling, 0, 9, 20, 7.00, 352.105157137, 19.5014231205, 0
Leoben, Patrolling, 4, 2, 2, 7.00, 0, 316.112569094, 0
Boomer, Patrolling, 1, 9, 20, 7.00, 384.22944212, 96.1643459797, 0
Caprica, Patrolling, 2, 9, 20, 7.00, 333.292876005, 153.8239851, 0
Anders, Patrolling, 0, 9, 30, 7.00, 536.424960136, 19.5014231205, 0
Hera, Patrolling, 6, 9, 12, 7.00, 321.666085958, 257.264186859, 0
Leoben, Patrolling, 5, 9, 12, 7.00, 301.476875067, 316.112569094, 0
Boomer, Patrolling, 1, 9, 30, 7.00, 539.543257952, 96.1643459797, 0
Sharon, Patrolling, 4, 9, 10, 7.00, 197.933037043, 451.543605804, 0
Caprica, Patrolling, 2, 9, 30, 7.00, 503.625715971, 153.8239851, 0
Anders, Patrolling, 0, 9, 40, 7.00, 721.161710262, 19.5014231205, 0
Sharon, Patrolling, 4, 9, 20, 7.00, 291.194182873, 451.543605804, 0
Hera, Patrolling, 6, 9, 22, 7.00, 512.455533028, 257.264186859, 0
Leoben, Patrolling, 5, 9, 22, 7.00, 466.285379887, 316.112569094, 0
Sharon, Patrolling, 4, 9, 30, 7.00, 337.717032909, 451.543605804, 0
Sharon, Patrolling, 4, 9, 40, 7.00, 379.94004178, 451.543605804, 0
Caprica, Patrolling, 2, 9, 40, 7.00, 689.342190981, 153.8239851, 0
Boomer, Patrolling, 1, 9, 40, 7.00, 759.753841877, 96.1643459797, 0
Sharon, Patrolling, 4, 9, 50, 7.00, 427.005310774, 451.543605804, 0
Hera, Patrolling, 6, 9, 32, 7.00, 632.179694891, 257.264186859, 0
Sharon, Patrolling, 4, 9, 60, 7.00, 476.249217987, 451.543605804, 0
Anders, Patrolling, 0, 9, 50, 7.00, 912.516388416, 19.5014231205, 0
Leoben, Patrolling, 5, 9, 32, 7.00, 653.497181892, 316.112569094, 0
Sharon, Patrolling, 4, 9, 70, 7.00, 521.019927979, 451.543605804, 0
Caprica, Patrolling, 2, 9, 50, 7.00, 852.215667963, 153.8239851, 0
Boomer, Patrolling, 1, 9, 50, 7.00, 924.945035934, 96.1643459797, 0
Hera, Patrolling, 6, 9, 42, 7.00, 822.884849787, 257.264186859, 0
