Names,Status,Location,Laps,TotalLaps,Battery,ActiveTime,IdleTime,ReturnTime
Anders,Patrolling,0,9,10,7.00,180.195931911,18.6045439243,0
Boomer,Patrolling,1,9,10,7.00,197.400893927,93.3356890678,0
Caprica,Patrolling,2,9,10,7.00,176.72439599,150.043936968,0
Anders,Patrolling,0,9,20,7.00,366.973714828,18.6045439243,0
Caval,Patrolling,6,9,10,7.00,221.617758989,190.585948944,0
Boomer,Patrolling,1,9,20,7.00,350.060144901,93.3356890678,0
Hera,Patrolling,5,9,10,7.00,194.603897095,268.839798927,0
Leoben,Patrolling,4,9,10,7.00,138.127918005,328.213815928,0
Caprica,Patrolling,2,9,20,7.00,368.323616028,150.043936968,0
Anders,Patrolling,0,9,30,7.00,547.119913816,18.6045439243,0
Caval,Patrolling,6,9,20,7.00,378.547821045,190.585948944,0
Boomer,Patrolling,1,9,30,7.00,528.945392847,93.3356890678,0
Hera,Patrolling,5,9,20,7.00,383.056283236,268.839798927,0
Caprica,Patrolling,2,9,30,7.00,526.591217995,150.043936968,0
Leoben,Patrolling,4,9,20,7.00,359.074932098,328.213815928,0
Anders,Patrolling,0,9,40,7.00,715.533043861,18.6045439243,0
Caval,Patrolling,6,9,30,7.00,576.543653965,190.585948944,0
Boomer,Patrolling,1,9,40,7.00,723.994515896,93.3356890678,0
Leoben,Patrolling,4,9,30,7.00,506.458490133,328.213815928,0
Hera,Patrolling,5,9,30,7.00,573.988702297,268.839798927,0
Anders,Patrolling,0,9,50,7.00,869.46270299,18.6045439243,0
Caprica,Patrolling,2,9,40,7.00,742.113120079,150.043936968,0
Caval,Patrolling,6,9,40,7.00,728.192808867,190.585948944,0
Boomer,Patrolling,1,9,50,7.00,937.284828901,93.3356890678,0
Hera,Patrolling,5,9,40,7.00,764.47718215,268.839798927,0
Leoben,Patrolling,4,9,40,7.00,714.194615126,328.213815928,0
Caprica,Patrolling,2,9,50,7.00,903.011362076,150.043936968,0
Caval,Patrolling,6,9,50,7.00,887.346147776,190.585948944,0
Anders,Patrolling,0,9,60,7.00,1059.53778219,18.6045439243,0
Hera,Patrolling,5,9,50,7.00,894.550224304,268.839798927,0
Caprica,Patrolling,2,9,60,7.00,1031.76290607,150.043936968,0
Boomer,Patrolling,1,9,60,7.00,1092.36549091,93.3356890678,0
Leoben,Patrolling,4,9,50,7.00,928.358644009,328.213815928,0
Anders,Patrolling,0,9,70,7.00,1246.36902118,18.6045439243,0
Caval,Patrolling,6,9,60,7.00,1081.76599669,190.585948944,0
Hera,Patrolling,5,9,60,7.00,1051.83444023,268.839798927,0
Boomer,Patrolling,1,9,70,7.00,1276.73181891,93.3356890678,0
Caprica,Patrolling,2,9,70,7.00,1251.64480925,150.043936968,0
Leoben,Patrolling,4,9,60,7.00,1115.65356207,328.213815928,0
Caval,Patrolling,6,9,70,7.00,1260.68463063,190.585948944,0
Anders,Patrolling,0,9,80,7.00,1452.25710917,18.6045439243,0
Hera,Patrolling,5,9,70,7.00,1244.5837822,268.839798927,0
Caprica,Patrolling,2,9,80,7.00,1412.38362932,150.043936968,0
Boomer,Patrolling,1,9,80,7.00,1502.66065884,93.3356890678,0
Caval,Patrolling,6,9,80,7.00,1415.66448355,190.585948944,0
